run,N,error
0,50,1.1787499130747847
0,100,0.839484785487887
0,200,0.5831325194440893
0,500,0.36313338218409563
0,1000,0.2576144565049485
0,2000,0.18197866875943167
0,5000,0.11834855951365054
0,10000,0.0837780009209826
0,20000,0.058656342474093265
1,50,1.2249660317807105
1,100,0.8380549487188436
1,200,0.5768807622258378
1,500,0.36223277579486957
1,1000,0.2599598682506016
1,2000,0.18585592043662466
1,5000,0.11794010279831826
1,10000,0.08228719556733045
1,20000,0.05815646662160047
2,50,1.180040881732819
2,100,0.8360528387877171
2,200,0.5848590218543932
2,500,0.3711239428591741
2,1000,0.2629305886172223
2,2000,0.18685582151755992
2,5000,0.11731518840078632
2,10000,0.0827432041027436
2,20000,0.05927176617354965
3,50,1.1936286499694495
3,100,0.8228092418766522
3,200,0.5823900977691119
3,500,0.372572042616365
3,1000,0.2629257920616288
3,2000,0.18932832137985106
3,5000,0.11938382805935606
3,10000,0.08329157143079538
3,20000,0.057967170667928065
4,50,1.1490811211385545
4,100,0.8194784150363134
4,200,0.5998939890322887
4,500,0.37445614727697335
4,1000,0.26509707613068684
4,2000,0.18862658174581834
4,5000,0.12006014138660824
4,10000,0.08283011745323934
4,20000,0.05971739084771129
5,50,1.1522588445258197
5,100,0.8270655277189208
5,200,0.5775001903073307
5,500,0.36834842076946783
5,1000,0.2597167195588537
5,2000,0.18392469208377654
5,5000,0.11707852503759512
5,10000,0.08378389398521563
5,20000,0.059726064090744484
6,50,1.2184651085376352
6,100,0.855123491563271
6,200,0.5977664173702393
6,500,0.3673839774657417
6,1000,0.2671219357841279
6,2000,0.1869975061788937
6,5000,0.1181576260727132
6,10000,0.08482749934894407
6,20000,0.05822567943672142
7,50,1.2032652446513488
7,100,0.8362026352184251
7,200,0.5829491728420756
7,500,0.3756640956257165
7,1000,0.2680454317020927
7,2000,0.18716790789752827
7,5000,0.11710327837238782
7,10000,0.0830944357784621
7,20000,0.059347977162466606
8,50,1.2053234776550088
8,100,0.862096088523045
8,200,0.5888364165737472
8,500,0.369203195910466
8,1000,0.2594380275012155
8,2000,0.1843615409467476
8,5000,0.11566801572028206
8,10000,0.08161696758411295
8,20000,0.059655227998427374
9,50,1.1639004721885267
9,100,0.8586922808758372
9,200,0.5878337991675904
9,500,0.3778467999463206
9,1000,0.2644896005402366
9,2000,0.18501749584302657
9,5000,0.11494810279298161
9,10000,0.08151941438359911
9,20000,0.05871190473155541
