run,lambda,lag,normalized_self_energy
0,0.25,0,0.002983942071566382
0,0.25,1,0.0004643594782182703
0,0.25,2,2.620607335828482e-07
0,0.25,3,9.747081349427293e-09
0,0.25,4,7.326251876651907e-10
0,0.25,5,8.440513436226319e-11
0,0.25,6,1.2168794376819301e-11
0,0.25,7,1.9043086977460423e-12
0,0.25,8,3.233355382573965e-13
0,0.25,9,5.841458668538917e-14
0,0.25,10,1.0160065646760458e-14
0,0.25,11,1.8888083852174695e-15
0,0.25,12,3.3706112131623557e-16
0,0.25,13,5.720346847005087e-17
0,0.25,14,1.9541009156979248e-17
0,0.25,15,1.6964435751774137e-17
0,0.25,16,1.7512890540581678e-17
0,0.25,17,1.7671067535647448e-17
0,0.25,18,1.7655293531635323e-17
0,0.25,19,1.6975240077902875e-17
0,0.25,20,1.7582996996921343e-17
0,0.25,21,1.6937094371263668e-17
0,0.25,22,1.5677905484281064e-17
0,0.25,23,1.5036998829187172e-17
0,0.25,24,1.5564460471502236e-17
0,0.25,25,1.6284702487839808e-17
0,0.25,26,1.650093117852856e-17
0,0.25,27,1.5701056032009042e-17
0,0.25,28,1.601599335299298e-17
0,0.25,29,1.4032852650092378e-17
0,0.25,30,7.71630515130223e-18
1,0.25,0,0.002990266019688075
1,0.25,1,0.00046586551095464826
1,0.25,2,2.1970651013415386e-07
1,0.25,3,7.300433404304601e-09
1,0.25,4,4.806574001677634e-10
1,0.25,5,5.881539892611258e-11
1,0.25,6,8.65196584726514e-12
1,0.25,7,1.4429099421381078e-12
1,0.25,8,2.2657861879117603e-13
1,0.25,9,3.8406942918179245e-14
1,0.25,10,6.9480993966991925e-15
1,0.25,11,1.1906852322207037e-15
1,0.25,12,2.0062028277013587e-16
1,0.25,13,4.199704692297806e-17
1,0.25,14,1.8837508676765e-17
1,0.25,15,1.7475807487824227e-17
1,0.25,16,1.8000208032898227e-17
1,0.25,17,1.7435546427281476e-17
1,0.25,18,1.7315605508068035e-17
1,0.25,19,1.7769822935027304e-17
1,0.25,20,1.7993883759434155e-17
1,0.25,21,1.7019185480854783e-17
1,0.25,22,1.605068711610113e-17
1,0.25,23,1.6557648559166615e-17
1,0.25,24,1.615453978532839e-17
1,0.25,25,1.462007693518136e-17
1,0.25,26,1.6087728961490816e-17
1,0.25,27,1.5397829220004823e-17
1,0.25,28,1.451824931844808e-17
1,0.25,29,1.2229600854441954e-17
1,0.25,30,9.468383814117634e-18
2,0.25,0,0.0029910703375981727
2,0.25,1,0.00046574151204778507
2,0.25,2,2.2608808387048516e-07
2,0.25,3,7.032635590602292e-09
2,0.25,4,4.4329711251671625e-10
