run,range,relative_covariance_error
0,1,3.068659805631936e-05
0,2,1.0514633467765554e-06
0,3,7.196566391700124e-08
0,4,7.946642258693342e-09
0,5,1.1202396266275067e-09
0,6,1.6878226369257977e-10
0,7,2.7027664053572154e-11
0,8,4.896826444531616e-12
0,9,8.108148779580885e-13
0,10,1.5258401854533469e-13
1,1,2.509440677754331e-05
1,2,7.478082834003561e-07
1,3,4.3027230481184005e-08
1,4,5.309033598082796e-09
1,5,7.301551209951463e-10
1,6,1.3693323618189903e-10
1,7,1.927985855950227e-11
1,8,2.5464754116574536e-12
1,9,4.861542016926045e-13
1,10,8.427546400861145e-14
2,1,2.8386855438058824e-05
2,2,8.013916026058973e-07
2,3,4.320855818743686e-08
2,4,4.1009731700746895e-09
2,5,6.257118826096614e-10
2,6,9.338877340122549e-11
2,7,1.747683469436896e-11
2,8,3.126660987319629e-12
2,9,6.057238526915137e-13
2,10,8.900945187759484e-14
3,1,4.855222148650777e-05
3,2,1.6223753241935955e-06
3,3,1.2571039353089937e-07
3,4,1.2826467430896367e-08
3,5,1.4951886282014707e-09
3,6,2.3221737330004385e-10
3,7,3.0540207246848694e-11
3,8,4.575424518986091e-12
3,9,5.663310061540143e-13
3,10,1.0735631437151561e-13
4,1,2.976096478917885e-05
4,2,7.211922155954123e-07
4,3,4.919537518212776e-08
4,4,6.361133129401723e-09
4,5,7.939129098736564e-10
4,6,1.4927879638652134e-10
4,7,1.890979205251043e-11
4,8,3.563722165817235e-12
4,9,5.050856054735628e-13
4,10,7.919720444245935e-14
5,1,3.069721199572604e-05
5,2,7.944324807236344e-07
5,3,4.3732127042999265e-08
5,4,5.997742627290116e-09
5,5,7.720791441411447e-10
5,6,1.2318921818740893e-10
5,7,2.0044103990962005e-11
5,8,3.720431256999052e-12
5,9,5.561016383990342e-13
5,10,8.246346422994015e-14
6,1,2.5764420979489884e-05
6,2,7.251799641037613e-07
6,3,4.12939267036468e-08
6,4,4.319384317274796e-09
6,5,7.025502047486905e-10
6,6,1.3432315272864623e-10
6,7,1.889862044390488e-11
6,8,2.6574972896915326e-12
6,9,5.172523315345759e-13
6,10,8.690119193058875e-14
7,1,2.8108847538775753e-05
7,2,9.319826759861625e-07
7,3,5.4116697405906215e-08
7,4,6.519585071046668e-09
7,5,8.499806989667245e-10
7,6,1.3914801366905583e-10
7,7,2.0709090319619364e-11
7,8,3.566282830679409e-12
7,9,6.008248556373732e-13
7,10,1.0815318390311747e-13
8,1,3.6246161551604774e-05
8,2,1.074942353989182e-06
8,3,8.15324502042748e-08
8,4,8.22845026010439e-09
8,5,1.227170255452985e-09
8,6,1.6259755611189494e-10
8,7,2.767676970296422e-11
8,8,4.2281607321486775e-12
8,9,7.098769562742171e-13
8,10,1.3277745949227059e-13
9,1,2.660367288958923e-05
9,2,7.902403520091806e-07
9,3,4.8822681138222086e-08
9,4,5.778339609476862e-09
9,5,5.254422566660346e-10
9,6,8.022361659243632e-11
9,7,1.3116062762619543e-11
9,8,2.6158233970088143e-12
9,9,4.587367291772298e-13
9,10,8.65248086422818e-14
