run,epsilon,mean_p0,mean_p1,mean_p2,cov_p0,cov_p1,cov_p2
0,0.001,0.0009649573936177004,4.825591099606947e-07,1.608664098224473e-10,0.0019255652105829,4.1096353882905934e-08,6.097189327274316e-10
0,0.002,0.0019270928669382033,1.9277352311925994e-06,1.2853709765283458e-09,0.003843664763769777,1.659553664057994e-07,4.864690952116196e-09
0,0.004,0.003842945509607351,7.691014945203412e-06,1.0258103909855991e-08,0.007657625485669878,6.764396708303629e-07,3.8709855169530154e-08
0,0.007,0.0066958549415658914,2.3462833680834917e-05,5.477853252801801e-08,0.013323558311402537,2.1299132628726597e-06,2.058082378374188e-07
0,0.01,0.009523999378924017,4.769936342376975e-05,1.5913028796697536e-07,0.01892440738892083,4.466353841524975e-06,5.952654905580752e-07
0,0.02,0.018776212110003826,0.0001883879906645427,1.2580103421441454e-06,0.037136836066013756,1.946345540401835e-05,4.638537538847116e-06
0,0.04,0.03650879586608233,0.0007350436269663213,9.83316289466205e-06,0.07156860716396295,9.037035632865456e-05,3.52460264158653e-05
0,0.07,0.06132663010796979,0.0021714717162387813,5.0961847608513246e-05,0.11871189225425051,0.00032997264639036906,0.00017531388951729166
0,0.1,0.08421853105080011,0.004281096967515054,0.00014388443340070705,0.16111412559682464,0.0007694085219879923,0.0004757542986953551
0,0.16,0.12502258756881407,0.01026840812996622,0.0005548715259362002,0.2341162420655178,0.0023694891001992784,0.0017017975305602053
0,0.25,0.1761180073541664,0.022931078125890583,0.0019500575591165307,0.3208672643658576,0.006804650646112037,0.005390141672690199
0,0.36,0.2261058984079918,0.04313574704118846,0.005327749139663962,0.4007137917727271,0.01567653490703229,0.013124335887309197
1,0.001,0.0009694659029803668,4.848137403322303e-07,1.6161803323558572e-10,0.001931944591372254,3.633400707446678e-08,6.14120534688784e-10
1,0.002,0.0019360878603521868,1.936733222944159e-06,1.2913706252733977e-09,0.003856378031483813,1.4706224603832664e-07,4.8997796257836234e-09
1,0.004,0.0038608479278161084,7.726843651505593e-06,1.0305891416454998e-08,0.0076828714904679605,6.020978596324373e-07,3.898859525951131e-08
1,0.007,0.0067269566105401316,2.357181652061421e-05,5.5032974098146626e-08,0.013367271161746595,1.9077389162909055e-06,2.072864862159788e-07
1,0.01,0.009568109138335062,4.792027980155257e-05,1.5986728911880415e-07,0.018986196729848078,4.023760544155676e-06,5.995304127246868e-07
1,0.02,0.018862344953345305,0.00018925219017358976,1.2637812615955118e-06,0.03725617703274725,1.7825885596366303e-05,4.671500872796918e-06
1,0.04,0.03667319035505256,0.0007383534354264327,9.877440383142305e-06,0.07179159254315692,8.469088461954438e-05,3.549259851824156e-05
1,0.07,0.06159553244066698,0.002180993090702936,5.118530289501251e-05,0.11906573201877957,0.000315503295390024,0.0001765136476521406
1,0.1,0.08457864155782983,0.004299402534952293,0.00014449966968681972,0.16157461055512853,0.000744176974711993,0.00047894468161504487
1,0.16,0.12553294501724385,0.010310325024141531,0.0005571365791693085,0.23473538261594756,0.002319835977498924,0.0017128054951311897
1,0.25,0.17679428182737586,0.023019131034350583,0.0019575455733652205,0.3216328958056851,0.006716499132236747,0.005423491612684814
1,0.36,0.226920643850014,0.0432911815236035,0.0053469470436476275,0.40157257829474124,0.015543601892822792,0.013202219043317049
2,0.001,0.0009630816376531595,4.816210756567853e-07,1.6055371964758488e-10,0.0019316078377657935,3.908852441284824e-08,6.144956363947363e-10
2,0.002,0.001923350533207101,1.9239916500090773e-06,1.2828748417519534e-09,0.003855709168284554,1.5787857010273915e-07,4.902776847377845e-09
2,0.004,0.0038354973326766664,7.676108660450662e-06,1.023822224041695e-08,0.0076815521324223104,6.438032370599557e-07,3.901251451896776e-08
2,0.007,0.006682915457849927,2.3417492651638407e-05,5.467267510956534e-08,0.013365009609086525,2.028693710377299e-06,2.074142050379709e-07
2,0.01,0.009505648243072765,4.76074548186411e-05,1.5882367081372186e-07,0.018983032050126105,4.2577157419260045e-06,5.999013801498901e-07
2,0.02,0.018740379314589408,0.00018802846829185367,1.255609536957226e-06,0.0372502677677228,1.861330145648209e-05,4.674431006047318e-06
2,0.04,0.03644040978497881,0.0007336667874432302,9.814744005201917e-06,0.07178128078072739,8.698291438194234e-05,3.551542408184624e-05
2,0.07,0.06121478144162882,0.002167511345107502,5.086890242826923e-05,0.11905099780927196,0.000320113054799223,0.0001766309517823504
2,0.1,0.08406875891592672,0.004273483571455728,0.0001436285529133962,0.16155740263317245,0.0007506560106651614,0.0004792721058906986
2,0.16,0.1248103628095995,0.01025097759613008,0.0005539296363282736,0.23471699965536316,0.0023283750258932963,0.0017140322526722359
2,0.25,0.17583684872395658,0.022894470452365503,0.0019469444446747592,0.32161761729736704,0.006724762102724711,0.005427588379803185
2,0.36,0.22576724287284713,0.043071139440940286,0.005319769375541448,0.4015637399256809,0.015548198218645984,0.013212696607732586
3,0.001,0.0009468011803580448,4.734794903071576e-07,1.5783963227875505e-10,0.0019048016750509347,5.666019117705353e-08,5.972290874527614e-10
3,0.002,0.0018908691497412442,1.8914994394372774e-06,1.261209736183325e-09,0.003802293172019891,2.277462572331317e-07,4.765143732610716e-09
3,0.004,0.003770850767882864,7.546729335464719e-06,1.0065658974122494e-08,0.007575499073033602,9.19921403049054e-07,3.7919372675427013e-08
3,0.007,0.006570605681724024,2.302394983732719e-05,5.375387313380358e-08,0.013181433916443826,2.858948376328701e-06,2.0161848903839156e-07
